"UNIT_CODE","UNIT_DISPLAY"
"GM","gm"
"KG","kg"
"L","l"
"M","M"
"MG","mg"
"ML","ml"
"MM","mM"
"PCT","%"
"UL","ul"
"UM","uM"
"NONE","NONE"
"UG","ug"
